Date,TempHighF,TempLowF,TempAvgF,DewPointAvgF,HumidityAvgPercent,sealevelpressure,VisibilityAvgMiles,PrecipitationSumInches,Events
1/1/1999,73.9,51.8,60.5,57.9,92,1008.7,4.2,,
1/2/1999,64.3,37.2,48.2,30.4,52.1,1016.6,9.7,,
1/3/1999,39.7,30.3,35.6,12.1,39,1029.8,9.9,,
1/4/1999,42.8,28,34.2,13.9,43.7,1034.9,9.9,,
1/5/1999,55.5,21.4,39.7,31.4,72.6,1026.7,9.9,,
1/6/1999,62.3,44.7,54.2,52.1,93,1019.9,7.6,,
1/7/1999,73.8,46.5,60.1,57.1,90.8,1016.9,6,,
1/8/1999,75.3,37.4,61.6,54.9,79.3,1012.6,9.4,,
1/9/1999,47.9,30.7,38.2,23.1,56.6,1025.9,9.9,,
1/10/1999,48.7,42.1,44.6,32.6,63.1,1027.3,9.9,,
1/11/1999,68,30.6,51.6,44.7,79.9,1022.8,7.4,,
1/12/1999,73,53.7,61.2,54.7,80.8,1012.1,9.8,,
1/13/1999,62.7,42.9,56,47.6,75.8,1015.9,7.1,,
1/14/1999,57.3,38.5,45.6,31.9,62.9,1024,9.2,,
1/15/1999,64.5,26.7,46.4,32.1,60.7,1019.5,9.9,,
1/16/1999,73.4,41.5,56.5,48.2,75.8,1011.7,9.1,,
1/17/1999,80.7,53.7,64.8,48.4,63,1011.3,7.1,,
1/18/1999,70.3,44.7,58.1,38.1,48.8,1020.3,9.9,,
1/19/1999,73.5,39.5,59.2,53.5,83,1017.3,6.9,,
1/20/1999,73.9,52.9,64,61.6,92.6,1012.3,4.2,,
1/21/1999,80.3,64.5,71,63.7,80,1003.4,7.1,,
1/22/1999,68.1,46.4,59.5,41.3,52.6,1003.6,9.7,,
1/23/1999,65.9,44.6,52.6,38.5,60.1,1019,9.9,,
1/24/1999,75.3,32.3,54.8,39.9,60.9,1022.8,9.9,,
1/25/1999,75.3,41.1,59.1,48.7,71.8,1025.2,9.6,,
1/26/1999,75.3,52,63.4,54.6,76,1021.1,9.4,,
1/27/1999,75.2,55.5,65.7,55.3,70.8,1016.8,9.9,,
1/28/1999,75.3,57.3,68.5,64.8,88.6,1011.8,8.1,,
1/29/1999,69.9,48.2,61.6,58.5,89.7,1011,8.2,,
1/30/1999,60.8,38.5,49.8,37.6,64.8,1019,9.9,,
1/31/1999,64.4,39.3,51.8,40.1,66,1021.7,9.9,,
2/1/1999,71.7,37.6,56.2,47.3,74.9,1018.2,8.4,,
2/2/1999,66.3,50.2,58.1,42.1,57.3,1019,9.9,,
2/3/1999,78,46.5,60.8,51.5,72.4,1012.9,9.8,,
2/4/1999,69.9,50.3,62.3,50.5,66.6,1021.2,9,,
2/5/1999,75.1,62.6,67.4,59.5,76.3,1020.3,9.3,,
2/6/1999,77.5,66.2,71,66.1,84.9,1014.9,9.7,,
2/7/1999,82.5,57,70.3,51.4,61.7,1013,8.4,,
2/8/1999,73.5,53.7,67.9,65.2,91.3,1012.1,4.3,,
2/9/1999,82.5,68.6,73,67.3,83.5,1013.8,6.8,,
2/10/1999,80.6,66.2,71.5,65.1,81.8,1012.6,8.5,,
2/11/1999,73.3,48.3,63.8,45.7,57.9,1017.8,9.3,,
2/12/1999,57.3,38.7,47.5,17,30.9,1035.9,9.9,,
2/13/1999,66.3,27,49.6,22.4,39.6,1034.2,9.9,,
2/14/1999,69.6,26.9,50.7,28.8,49.8,1027.4,9.9,,
2/15/1999,74.8,34.2,57.4,46.2,69.2,1018.3,8.5,,
2/16/1999,69.5,50.3,60.4,51.6,74.3,1015.4,9.9,,
2/17/1999,69.5,46.4,57.7,36.2,47.2,1014.4,9.9,,
2/18/1999,78.9,37.7,61.8,37.9,46.6,1011,9.9,,
2/19/1999,68.1,43.8,56.3,31.8,40.3,1014.6,9.9,,
2/20/1999,70.3,43.2,57.5,51.1,79.7,1016.1,8.5,,
2/21/1999,62.6,42.2,51.3,34.2,55.4,1029.1,9.1,,
2/22/1999,62.7,28.8,49.7,41.1,73.2,1022.1,9.4,,
2/23/1999,71.7,39.2,58,35,51.7,1021.8,9.5,,
2/24/1999,73.9,37.6,58.6,44.7,60.8,1022.3,9.9,,
2/25/1999,75.3,54.7,64.1,60.2,87.9,1017.5,6.6,,
2/26/1999,72.1,66.2,69,64.2,84.8,1013.6,7.6,,
2/27/1999,87,60.1,71.8,53.6,62.4,1013.3,7.5,,
