model,dataset,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,Validation,0.9801031687546058,0.8376623376623377,0.6972972972972973,0.7610619469026548,0.9923342282065906
XGBoost,Validation,0.9928764431343651,0.9534883720930233,0.8864864864864865,0.9187675070028011,
AdaBoost,Validation,0.9926308032424466,0.9479768786127167,0.8864864864864865,0.9162011173184358,
LSTM,Validation,0.9545566199950872,0.0,0.0,0.0,0.972771278741428
Random Forest,Test,0.9881918819188192,0.9312977099236641,0.9457364341085271,0.9384615384615385,0.9982864802660698
XGBoost,Test,0.9867158671586715,0.8992805755395683,0.9689922480620154,0.9328358208955224,
AdaBoost,Test,0.988929889298893,0.9014084507042254,0.9922480620155039,0.9446494464944649,
LSTM,Test,0.9047970479704797,0.0,0.0,0.0,0.9688152054326795
Simple Average,Validation,0.9931220830262835,0.9590643274853801,0.8864864864864865,0.9213483146067416,0.9950647508032995
Weighted Average,Validation,0.9928764431343651,0.9534883720930233,0.8864864864864865,0.9187675070028011,0.9950258029516907
Voting,Validation,0.9931220830262835,0.9590643274853801,0.8864864864864865,0.9213483146067416,0.9950647508032995
Stacking,Validation,0.9928764431343651,0.9534883720930233,0.8864864864864865,0.9187675070028011,0.9949298243173694
Simple Average,Test,0.9881918819188192,0.9124087591240876,0.9689922480620154,0.9398496240601504,0.9983750015807378
Weighted Average,Test,0.9867158671586715,0.8992805755395683,0.9689922480620154,0.9328358208955224,0.9983813245317854
Voting,Test,0.9881918819188192,0.9124087591240876,0.9689922480620154,0.9398496240601504,0.9983750015807378
Stacking,Test,0.9867158671586715,0.8992805755395683,0.9689922480620154,0.9328358208955224,0.9983876474828332
