model,dataset,RMSE,MAE,R²
Random Forest,Validation,5.119809943400116,3.803745624024646,0.9043504473891287
XGBoost,Validation,5.7352425974332855,4.3601305304245965,0.8799730279697249
AdaBoost,Validation,5.781833028953656,4.516767752140621,0.8780150210803018
LSTM,Validation,6.860508032836414,5.1326433299539715,0.828253530444351
Random Forest,Test,5.632406972813872,4.169896903042383,0.8948086109161486
XGBoost,Test,5.605550618967834,4.109821222132479,0.895809363164324
AdaBoost,Test,6.019476739528661,4.621405079006894,0.8798539170342865
LSTM,Test,7.746150309487881,5.841199999877333,0.8010408233063406
Simple Average,Validation,5.427787629512425,4.119256086672179,0.8924969074487522
Weighted Average,Validation,5.415966253988809,4.110200774528287,0.892964667285892
Stacking,Validation,4.87555435866271,3.4905286887183564,0.9132592306638934
Simple Average,Test,5.800939196854827,4.357255834892404,0.8884193821234175
Weighted Average,Test,5.783281618352456,4.342792054492639,0.8890976326010342
Stacking,Test,5.6685689380944595,4.060557708214113,0.8934535459746648
